"scale","level","subID","sub.gender","masc.femi","task"
"294",1.04644915035246,"fac_9",6,"female","masc","fac"
"295",0.0367272652706175,"fac_9",7,"male","masc","voi"
"296",-0.304645770914192,"fac_9",8,"male","masc","voi"
"297",0.0447050779160148,"fac_9",9,"male","masc","voi"
"298",-0.289093158198417,"fac_9",10,"female","masc","voi"
"299",0.0269435172722234,"fac_9",11,"female","masc","voi"
"300",0.417443273062918,"fac_9",12,"female","masc","voi"
"301",0.827340639690789,"fac_9",13,"male","masc","sti"
"302",0.96248644573365,"fac_9",14,"male","masc","sti"
"303",-0.0255132540164255,"fac_9",15,"male","masc","sti"
"304",0.0340272113736646,"fac_9",16,"female","masc","sti"
"305",0.605762143149483,"fac_9",17,"female","masc","sti"
"306",0.344695410019423,"fac_9",18,"female","masc","sti"
"307",0.489363559802992,"fac_9",19,"male","femi","fac"
"308",1.26560304019977,"fac_9",20,"male","femi","fac"
"309",1.05506126206791,"fac_9",21,"male","femi","fac"
"310",0.333452658281248,"fac_9",22,"female","femi","fac"
"311",1.32825077895102,"fac_9",23,"female","femi","fac"
"312",0.409763108827149,"fac_9",24,"female","femi","fac"
"313",-0.0143695933290697,"fac_9",25,"male","femi","voi"
"314",0.204468958900436,"fac_9",26,"male","femi","voi"
"315",-0.213694795902694,"fac_9",27,"male","femi","voi"
"316",0.613464791560096,"fac_9",28,"female","femi","voi"
"317",0.336504937062611,"fac_9",29,"female","femi","voi"
"318",0.22959462828656,"fac_9",30,"female","femi","voi"
"319",1.12868105042754,"fac_9",31,"male","femi","sti"
"320",-0.0691827723656302,"fac_9",32,"male","femi","sti"
"321",0.056978341439405,"fac_9",33,"male","femi","sti"
"322",0.359536412959286,"fac_9",34,"female","femi","sti"
"323",0.839713630684016,"fac_9",35,"female","femi","sti"
"324",0.30801313915676,"fac_9",36,"female","femi","sti"
"325",1.07983435865991,"fac_10",1,"male","masc","fac"
"326",0.460405332506122,"fac_10",2,"male","masc","fac"
"327",0.350845016329558,"fac_10",3,"male","masc","fac"
"328",0.192498181019571,"fac_10",4,"female","masc","fac"
"329",1.17813755892889,"fac_10",5,"female","masc","fac"
"330",1.28776998661682,"fac_10",6,"female","masc","fac"
"331",0.039043253119392,"fac_10",7,"male","masc","voi"
"332",-0.18802257620766,"fac_10",8,"male","masc","voi"
"333",-0.0983587556908048,"fac_10",9,"male","masc","voi"
"334",0.406925793105637,"fac_10",10,"female","masc","voi"
"335",0.298410268865501,"fac_10",11,"female","masc","voi"
"336",-0.0370561645119725,"fac_10",12,"female","masc","voi"
"337",1.26473165946257,"fac_10",13,"male","masc","sti"
"338",1.21201860158351,"fac_10",14,"male","masc","sti"
"339",0.358841166471276,"fac_10",15,"male","masc","sti"
"340",0.0881225347451511,"fac_10",16,"female","masc","sti"
"341",0.877154403869961,"fac_10",17,"female","masc","sti"
"342",0.470256002219743,"fac_10",18,"female","masc","sti"
"343",0.789523911691885,"fac_10",19,"male","femi","fac"
"344",1.14785142686568,"fac_10",20,"male","femi","fac"
"345",0.913393774334552,"fac_10",21,"male","femi","fac"
"346",0.39177511976207,"fac_10",22,"female","femi","fac"
"347",1.46308872226446,"fac_10",23,"female","femi","fac"
"348",0.402148074314265,"fac_10",24,"female","femi","fac"
"349",0.308573243580582,"fac_10",25,"male","femi","voi"
"350",0.337038094635165,"fac_10",26,"male","femi","voi"
"351",-0.236104120520121,"fac_10",27,"male","femi","voi"
"352",0.621934927855583,"fac_10",28,"female","femi","voi"
"353",0.519749924713154,"fac_10",29,"female","femi","voi"
"354",0.672804640125938,"fac_10",30,"female","femi","voi"
"355",1.53469833881273,"fac_10",31,"male","femi","sti"
"356",0.0796142216362874,"fac_10",32,"male","femi","sti"
"357",0.337740027421139,"fac_10",33,"male","femi","sti"
"358",0.771057769911789,"fac_10",34,"female","femi","sti"
"359",1.19910461681033,"fac_10",35,"female","femi","sti"
"360",0.546039158435614,"fac_10",36,"female","femi","sti"
"361",1.11107519773246,"fac_11",1,"male","masc","fac"
"362",0.463145313353756,"fac_11",2,"male","masc","fac"
"363",0.586665567395924,"fac_11",3,"male","masc","fac"
"364",0.329206180058027,"fac_11",4,"female","masc","fac"
"365",1.43233838963868,"fac_11",5,"female","masc","fac"
"366",1.61619004561467,"fac_11",6,"female","masc","fac"
"367",-0.114774313606078,"fac_11",7,"male","masc","voi"
"368",-0.151978172356698,"fac_11",8,"male","masc","voi"
"369",-0.261760371427531,"fac_11",9,"male","masc","voi"
"370",0.083037642704522,"fac_11",10,"female","masc","voi"
"371",0.11462729687141,"fac_11",11,"female","masc","voi"
"372",0.142505603851993,"fac_11",12,"female","masc","voi"
"373",1.45390170909069,"fac_11",13,"male","masc","sti"
"374",1.75364049429105,"fac_11",14,"male","masc","sti"
"375",0.188828677552997,"fac_11",15,"male","masc","sti"
"376",0.166905541695517,"fac_11",16,"female","masc","sti"
"377",1.07918763271836,"fac_11",17,"female","masc","sti"
"378",0.260782812293589,"fac_11",18,"female","masc","sti"
"379",0.609164506450365,"fac_11",19,"male","femi","fac"
"380",1.65690969964659,"fac_11",20,"male","femi","fac"
"381",1.32967231718237,"fac_11",21,"male","femi","fac"
"382",0.511933130961476,"fac_11",22,"female","femi","fac"
